frame,label,area,centroid_x,centroid_y,original_label,perimeter,show
1,107,0,0.0,0.0,113.0,1,0
1,108,0,0.0,0.0,114.0,1,0
1,109,0,0.0,0.0,115.0,1,0
1,110,0,0.0,0.0,116.0,1,0
1,111,0,0.0,0.0,117.0,1,0
1,112,0,0.0,0.0,118.0,1,0
1,113,3918,101.8274612,34.46886063,119.0,213,1
1,114,0,0.0,0.0,120.0,1,0
1,115,0,0.0,0.0,121.0,1,0
1,116,0,0.0,0.0,122.0,1,0
1,117,0,0.0,0.0,123.0,1,0
1,118,0,0.0,0.0,124.0,1,0
1,119,0,0.0,0.0,125.0,1,0
1,120,0,0.0,0.0,126.0,1,0
1,121,0,0.0,0.0,127.0,1,0
1,122,0,0.0,0.0,128.0,1,0
1,123,0,0.0,0.0,129.0,1,0
1,124,0,0.0,0.0,130.0,1,0
1,125,0,0.0,0.0,131.0,1,0
1,126,0,0.0,0.0,133.0,1,0
1,127,0,0.0,0.0,135.0,1,0
1,128,0,0.0,0.0,136.0,1,0
1,129,0,0.0,0.0,138.0,1,0
1,130,0,0.0,0.0,139.0,1,0
1,131,0,0.0,0.0,140.0,1,0
1,132,0,0.0,0.0,141.0,1,0
1,133,1994,127.9834518,241.3746185,142.0,163,1
2,0,2316,29.35449028,21.79490471,1.0,111,1
2,1,396,57.46717072,6.946969509,2.0,45,1
2,2,4626,38.28382874,74.62754059,3.0,234,1
2,3,1793,134.9057465,11.139431,4.0,99,1
2,4,0,0.0,0.0,5.0,1,0
2,5,3274,220.1472168,42.70891953,6.0,231,1
2,6,3233,283.4834595,28.45375824,7.0,162,1
2,7,3073,327.952179,35.85974503,8.0,178,1
2,8,2967,367.592865,71.63127899,9.0,193,1
2,9,1775,415.3729553,21.35042191,10.0,122,1
2,10,2338,451.5089722,28.62660408,11.0,150,1
2,11,1794,495.1884155,25.37625504,12.0,71,1
2,12,2831,164.9293518,49.18685913,13.0,190,1
2,13,2467,243.0879669,77.3092804,14.0,182,1
2,14,3094,413.0245667,87.80769348,15.0,207,1
2,15,1515,495.1966858,83.53927612,16.0,94,1
2,16,2567,102.3178787,84.46396637,17.0,194,1
2,17,5937,289.6243896,110.5896912,18.0,295,1
2,18,2022,189.9752655,103.7952499,19.0,166,1
2,19,2177,150.4983978,105.3665619,20.0,168,1
2,20,3206,464.85495,83.29351044,21.0,247,1
2,21,4394,357.208252,136.0748749,22.0,275,1
2,22,2474,221.4417877,129.1443024,23.0,186,1
2,23,2690,31.90111542,128.7866211,24.0,175,1
2,24,3552,97.34881592,133.1064148,25.0,214,1
2,25,1877,485.6334534,134.4560394,26.0,136,1
2,26,563,6.703374863,155.4706879,27.0,55,1
2,27,3724,157.6165466,160.7508087,28.0,204,1
2,28,4451,308.0375061,177.2469177,29.0,229,1
2,29,8453,421.8613586,172.4763947,30.0,341,1
2,30,4782,234.1187744,187.7041016,31.0,242,1
2,31,3446,48.6253624,176.6456757,32.0,207,1
2,32,4734,98.5014801,206.8219299,33.0,243,1
2,33,4053,180.3200073,218.517395,34.0,220,1
2,34,3663,350.5036926,223.6363678,35.0,215,1
2,35,473,7.824524403,193.7441864,36.0,50,1
2,36,2641,21.97841644,232.0280151,37.0,135,1
2,37,3911,276.2692261,234.8097687,38.0,222,1
2,38,2766,450.8279114,253.5260315,39.0,223,1
2,39,4070,404.3579712,265.8511047,40.0,231,1
2,40,3601,216.8819733,275.0458069,41.0,213,1
2,41,4789,291.1108704,285.6517029,42.0,270,1
